=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:16:07 =~=~=~=~=~=~=~=~=~=~=~=
pump open;
68117;9896801
68143;9896981
68170;9896450
68196;9895986
68222;9897118
68248;9896469
68274;9896677
68301;9896867
68327;9896830
68353;9896393
68380;9896953
68405;9896829
68432;9895981
68458;9897578
68484;9898261
68511;9897214
68536;9896976
68563;9896626
68589;9896621
68615;9897337
68642;9896365
68667;9898503
68694;9897181
68721;9897569
68746;9896535
68773;9896341
68799;9897081
68825;9897469
68851;9897228
68878;9896787
68903;9897119
68930;9896663
68956;9896981
68982;9897090
69009;9897138
69034;9897555
69061;9897190
69087;9896512
69113;9896919
69139;9896185
69166;9896351
69192;9897228
69218;9896165
69245;9895678
69270;9894819
69297;9897000
69323;9896677
69349;9896023
69375;9896972
69402;9895644
69428;9896516
69454;9896355
69480;9894995
69506;9896332
69533;9895763
69559;9896663
69585;9896024
69612;9896355
69638;9895445
69664;9896171
69690;9896303
69716;9896574
69743;9896270
69769;9896284
69795;9896142
69821;9895914
69847;9895578
69874;9895270
69899;9895625
69926;9895445
69952;9895488
69978;9895118
70005;9895953
70031;9895901
70057;9895341
70083;9896256
70109;9894534
70136;9894881
70162;9894805
70189;9894700
70214;9895725
70240;9895810
70267;9895061
70293;9895488
70319;9894312
70346;9895620
70372;9895829
70398;9895256
70424;9895141
70450;9896967
70476;9894904
70503;9896014
70529;9895180
70555;9895028
70581;9894872
70608;9895592
70634;9896673
70660;9894615
70686;9895483
70712;9895568
70739;9894871
70765;9894891
70791;9894772
70817;9894687
70844;9894980
70870;9896109
70896;9895483
70922;9894681
70948;9894970
70975;9895147
71001;9895668
71027;9895113
71053;9895147
71080;9894089
71106;9894644
71132;9894535
71158;9894629
71184;9894644
71210;9894720
71237;9894151
71263;9894876
71289;9894596
71316;9894165
71341;9894857
71368;9894909
71394;9894189
71420;9894554
71447;9894696
71472;9894260
71499;9894459
71525;9894387
71552;9893739
71577;9895065
71604;9894639
71630;9895422
71657;9894137
71682;9895180
71709;9894516
71734;9894568
71761;9894468
71787;9894506
71813;9894715
71840;9894009
71866;9893980
71893;9894113
71918;9894241
71945;9893696
71970;9893942
71997;9893363
72023;9893274
72049;9893127
72076;9892961
72102;9892354
72128;9892098
72154;9892946
72181;9891961
72207;9893937
72233;9893894
72259;9893596
72286;9893122
72311;9892554
72338;9892572
72364;9893800
72390;9892723
72416;9893255
72442;9892496
72469;9893316
72495;9892525
72522;9892145
72547;9892596
72574;9891704
72600;9892766
72626;9891633
72653;9892240
72678;9892264
72705;9892202
72731;9891472
72757;9892695
72784;9893477
72809;9893136
72836;9893501
72862;9893126
72888;9892956
72915;9894165
72941;9892752
72967;9892946
72993;9893107
73019;9892946
73046;9892975
73072;9892913
73098;9891633
73124;9892733
73151;9892364
73177;9892548
73203;9893013
73229;9892430
73255;9892676
73281;9893824
73308;9893169
73334;9893886
73360;9893017
73386;9892297
73413;9892643
73439;9892311
73465;9892952
73491;9892700
73518;9891657
73543;9892358
73570;9892477
73596;9893217
73622;9894596
73649;9892434
73674;9892425
73701;9894098
73727;9891482
73753;9891908
73780;9891903
73806;9892335
73832;9892587
73859;9892211
73884;9892401
73911;9892420
73937;9891439
73963;9892610
73989;9892866
74016;9893397
74042;9893776
74068;9892923
74095;9892415
74120;9891382
74147;9892287
74173;9891846
74199;9892103
74225;9892259
74252;9892567
74277;9892074
74304;9892112
74330;9891970
74356;9891899
74382;9892942
74409;9893174
74435;9892250
74461;9892600
74487;9891719
74514;9892074
74540;9891861
74566;9892884
74592;9892975
74619;9893240
74644;9893141
74671;9892975
74697;9892051
74723;9892657
74750;9893184
74776;9893368
74802;9893245
74829;9891842
74854;9892069
74881;9892193
74907;9892477
74933;9891914
74959;9892614
74985;9891932
75012;9891372
75038;9890941
75064;9892619
75090;9891899
75117;9890894
75143;9893012
75169;9891909
75195;9890590
75221;9891259
75248;9891240
75274;9891875
75300;9891510
75327;9891230
75352;9892965
75379;9891382
75405;9892003
75431;9893155
75457;9891728
75484;9893061
75510;9892121
75536;9891947
75562;9892126
75589;9893667
75614;9891819
75641;9892430
75667;9892126
75693;9897578
75720;9891794
75746;9892250
75772;9893018
75798;9891022
75825;9891652
75850;9891875
75877;9892359
75903;9892354
75930;9892174
75955;9892415
75982;9892221
76008;9891629
76034;9892349
76060;9891700
76087;9891941
76113;9893113
76139;9893112
76165;9891980
76191;9893132
76218;9891552
76244;9892818
76270;9892264
76296;9892558
76322;9891733
76349;9892211
76375;9891951
76401;9892999
I received: 
